,phase,pid,total_trials,trial_id,bonus_regime,time_penalty,guess_penalty,number_of_guesses,time_limit_enforced,time_limit,true_word,guess,guess_number,guesses_remain,words_remaining_pre,words_remaining_post,time_elapsed_curr,time_elapsed_trial,total_bonus,current_time,start_time,uniqueid,prev_exp
0,TEST,9002906,6,0,GUESS,0.0,0.05,15,0,0,deals,crane,1,14,2315,18,4.291,4.291,0.0,1650657766606,1650657762315,debugzxEqx:debugLylkG,10
1,TEST,9002906,6,0,GUESS,0.0,0.05,15,0,0,deals,light,2,13,18,1,4.359,8.65,0.0,1650657770965,1650657762315,debugzxEqx:debugLylkG,10
2,TEST,9002906,6,0,GUESS,0.0,0.05,15,0,0,deals,sound,3,12,1,0,6.681,15.331,0.0,1650657777646,1650657762315,debugzxEqx:debugLylkG,10
3,TEST,9002906,6,0,GUESS,0.0,0.05,15,0,0,deals,deals,4,11,0,0,13.424,28.755,0.0,1650657791070,1650657762315,debugzxEqx:debugLylkG,10
4,TEST,9002906,6,1,GUESS,0.0,0.05,15,0,0,sugar,crane,1,14,2315,65,3.916,3.916,0.3,1650657801448,1650657797532,debugzxEqx:debugLylkG,10
5,TEST,9002906,6,1,GUESS,0.0,0.05,15,0,0,sugar,light,2,13,65,2,3.823,7.739,0.3,1650657805271,1650657797532,debugzxEqx:debugLylkG,10
6,TEST,9002906,6,1,GUESS,0.0,0.05,15,0,0,sugar,sound,3,12,2,1,7.781,15.52,0.3,1650657813052,1650657797532,debugzxEqx:debugLylkG,10
7,TEST,9002906,6,1,GUESS,0.0,0.05,15,0,0,sugar,sugar,4,11,1,1,7.94,23.46,0.3,1650657820992,1650657797532,debugzxEqx:debugLylkG,10
8,TEST,9002906,6,2,GUESS,0.0,0.05,15,0,0,acorn,crane,1,14,2315,2,6.854,6.854,0.6,1650657832112,1650657825258,debugzxEqx:debugLylkG,10
9,TEST,9002906,6,2,GUESS,0.0,0.05,15,0,0,acorn,ranch,2,13,2,1,7.898,14.752,0.6,1650657840010,1650657825258,debugzxEqx:debugLylkG,10
10,TEST,9002906,6,2,GUESS,0.0,0.05,15,0,0,acorn,light,3,12,1,1,28.007,42.759,0.6,1650657868017,1650657825258,debugzxEqx:debugLylkG,10
11,TEST,9002906,6,2,GUESS,0.0,0.05,15,0,0,acorn,sound,4,11,1,1,4.264,47.023,0.6,1650657872281,1650657825258,debugzxEqx:debugLylkG,10
12,TEST,9002906,6,2,GUESS,0.0,0.05,15,0,0,acorn,annoy,5,10,1,1,37.846,84.869,0.6,1650657910127,1650657825258,debugzxEqx:debugLylkG,10
13,TEST,9002906,6,2,GUESS,0.0,0.05,15,0,0,acorn,acorn,6,9,1,1,8.012,92.881,0.6,1650657918139,1650657825258,debugzxEqx:debugLylkG,10
14,TEST,9002906,6,3,GUESS,0.0,0.05,15,0,0,smile,crane,1,14,2315,102,3.343,3.343,0.8,1650657927713,1650657924370,debugzxEqx:debugLylkG,10
