uniqueid,guess_number,word,guess,condition,trial,time_elapsed,prev_exp,w_remain_prev,w_remain_post,h_info_gain,m_info_gain,n_sample_guess,r_info_gain,losses,random_losses,sample_guess_lambda
debug05QEW:debugKYVRn,1,deals,raise,TIME,0,4.111000000000001,10.0,2317,13,0.961875,0.9278,624.72,0.8674583333333333,0.0011611056250000053,0.008914506944444452,0.00025
debug05QEW:debugKYVRn,2,deals,thump,TIME,0,2.407,10.0,13,5,0.7100591715976332,0.8613017751479289,743.52,0.48678500986193285,0.022874325128671925,0.049851351298779684,0.00025
debug05QEW:debugKYVRn,3,deals,flock,TIME,0,2.404,10.0,5,1,0.76,0.7872000000000001,766.76,0.5253333333333333,0.0007398400000000061,0.055068444444444455,0.00025
debug05QEW:debugKYVRn,4,deals,sales,TIME,0,5.209,10.0,1,1,0.0,0.28,771.96,0.0,0.07840000000000001,0.0,0.00025
debug05QEW:debugKYVRn,5,deals,pleas,TIME,0,9.84,10.0,1,1,0.0,0.24,728.48,0.0,0.0576,0.0,0.00025
debug05QEW:debugKYVRn,6,deals,nails,TIME,0,7.172999999999999,10.0,1,1,0.0,0.2,706.68,0.0,0.04000000000000001,0.0,0.00025
debug05QEW:debugKYVRn,7,deals,alarm,TIME,0,18.142,10.0,1,1,0.0,0.32,794.8,0.0,0.1024,0.0,0.00025
debug05QEW:debugKYVRn,8,deals,seals,TIME,0,7.2989999999999995,10.0,1,1,0.0,0.16,679.36,0.0,0.0256,0.0,0.00025
debug05QEW:debugKYVRn,9,deals,meals,TIME,0,2.079,10.0,1,1,0.0,0.08,623.2,0.0,0.0064,0.0,0.00025
debug05QEW:debugKYVRn,10,deals,deals,TIME,0,4.127,10.0,1,1,1.0,0.16,676.08,0.0,0.7055999999999999,1.0,0.00025
debug05QEW:debugKYVRn,1,shaft,raise,TIME,1,2.2430000000000003,10.0,2317,43,0.944375,0.9323250000000001,628.32,0.8770833333333334,0.00014520249999999744,0.004528168402777759,0.00025
debug05QEW:debugKYVRn,2,shaft,thump,TIME,1,2.915,10.0,43,2,0.8731249999999999,0.8840250000000001,736.8,0.62,0.00011881000000000287,0.06407226562499997,0.00025
debug05QEW:debugKYVRn,3,shaft,flock,TIME,1,2.677,10.0,2,1,0.5,0.64,810.56,0.13333333333333333,0.019600000000000003,0.13444444444444448,0.00025
debug05QEW:debugKYVRn,4,shaft,shaft,TIME,1,8.177,10.0,1,1,1.0,0.12,664.88,0.0,0.7744,1.0,0.00025
debug05QEW:debugKYVRn,1,hairy,raise,TIME,2,1.936,10.0,2317,4,0.964375,0.92265,629.76,0.9052083333333335,0.001740975625000001,0.003500694444444422,0.00025
debug05QEW:debugKYVRn,2,hairy,thump,TIME,2,1.71,10.0,4,1,0.375,0.6775,805.4,0.4375,0.09150625,0.00390625,0.00025
debug05QEW:debugKYVRn,3,hairy,flock,TIME,2,2.6519999999999997,10.0,1,1,0.0,0.24,729.28,0.0,0.0576,0.0,0.00025
debug05QEW:debugKYVRn,4,hairy,windy,TIME,2,2.459,10.0,1,1,0.0,0.28,760.64,0.0,0.07840000000000001,0.0,0.00025
debug05QEW:debugKYVRn,5,hairy,hairy,TIME,2,4.772,10.0,1,1,1.0,0.16,674.6,0.0,0.7055999999999999,1.0,0.00025
debug05QEW:debugKYVRn,1,draft,raise,TIME,3,1.649,10.0,2317,78,0.945,0.9146500000000001,627.08,0.8577500000000001,0.0009211224999999925,0.00761256249999997,0.00025
debug05QEW:debugKYVRn,2,draft,thump,TIME,3,3.739,10.0,78,8,0.815,0.89325,694.0,0.6936249999999998,0.006123062500000006,0.01473189062500003,0.00025
debug05QEW:debugKYVRn,3,draft,flock,TIME,3,2.1390000000000002,10.0,8,2,0.828125,0.809375,757.28,0.54375,0.00035156250000000167,0.08086914062500003,0.00025
debug05QEW:debugKYVRn,4,draft,windy,TIME,3,2.377,10.0,2,1,0.5,0.62,970.28,0.06666666666666667,0.0144,0.1877777777777778,0.00025
debug05QEW:debugKYVRn,5,draft,draft,TIME,3,3.4330000000000003,10.0,1,1,1.0,0.32,790.56,0.0,0.4623999999999999,1.0,0.00025
debug05QEW:debugKYVRn,1,adapt,raise,TIME,4,1.52,10.0,2317,92,0.95125,0.930925,620.44,0.887,0.0004131056250000015,0.004128062500000004,0.00025
debug05QEW:debugKYVRn,2,adapt,thump,TIME,4,3.2319999999999998,10.0,92,4,0.89125,0.90435,670.12,0.7881250000000001,0.00017161000000000002,0.010634765624999981,0.00025
debug05QEW:debugKYVRn,3,adapt,flock,TIME,4,2.096,10.0,4,1,0.75,0.74,758.6,0.45,0.00010000000000000018,0.09,0.00025
debug05QEW:debugKYVRn,4,adapt,windy,TIME,4,2.123,10.0,1,1,0.0,0.16,685.44,0.06666666666666667,0.0256,0.0044444444444444444,0.00025
debug05QEW:debugKYVRn,5,adapt,plaid,TIME,4,7.456,10.0,1,1,0.0,0.24,738.56,0.0,0.0576,0.0,0.00025
debug05QEW:debugKYVRn,6,adapt,adapt,TIME,4,6.847,10.0,1,1,1.0,0.12,644.52,0.0,0.7744,1.0,0.00025
debug05QEW:debugKYVRn,1,snore,raise,TIME,5,1.828,10.0,2317,10,0.95,0.92245,622.6,0.8779583333333334,0.0007590024999999979,0.005190001736111095,0.00025
debug05QEW:debugKYVRn,2,snore,thump,TIME,5,2.339,10.0,10,5,0.69,0.7948000000000001,840.64,0.4113333333333333,0.010983040000000024,0.07765511111111112,0.00025
debug05QEW:debugKYVRn,3,snore,flock,TIME,5,1.9569999999999999,10.0,5,2,0.76,0.7504000000000001,783.84,0.4106666666666667,9.215999999999889e-05,0.12203377777777777,0.00025
debug05QEW:debugKYVRn,4,snore,windy,TIME,5,2.6189999999999998,10.0,2,1,0.5,0.59,903.48,0.2,0.008099999999999994,0.09,0.00025
debug05QEW:debugKYVRn,5,snore,snore,TIME,5,7.837000000000001,10.0,1,1,1.0,0.4,858.8,0.06666666666666667,0.36,0.8711111111111112,0.00025
debug0Gdyl:debugZJHNc,1,smile,fight,TIME,0,20.139,0.0,2317,201,0.863125,0.923725,626.4,0.8702916666666668,0.0036723599999999986,5.136111111111253e-05,0.00025
debug0Gdyl:debugZJHNc,2,smile,yield,TIME,0,30.351999999999997,0.0,201,2,0.864375,0.917425,655.04,0.8388333333333333,0.0028143025000000044,0.000652376736111112,0.00025
debug0Gdyl:debugZJHNc,3,smile,jails,TIME,0,111.898,0.0,2,1,0.5,0.58,805.8,0.23333333333333334,0.006399999999999993,0.07111111111111111,0.00025
debug0Gdyl:debugZJHNc,4,smile,boils,TIME,0,71.068,0.0,1,1,0.0,0.2,686.96,0.0,0.04000000000000001,0.0,0.00025
debug0Gdyl:debugZJHNc,5,smile,prune,TIME,0,165.217,0.0,1,1,0.0,0.12,648.0,0.0,0.0144,0.0,0.00025
debug0Gdyl:debugZJHNc,6,smile,smile,TIME,0,40.684,0.0,1,1,1.0,0.16,673.24,0.0,0.7055999999999999,1.0,0.00025
debug0Gdyl:debugZJHNc,1,grind,pearl,TIME,1,6.897,0.0,2317,129,0.955625,0.938,612.16,0.90925,0.00031064062500000004,0.002150640624999995,0.00025
debug0Gdyl:debugZJHNc,2,grind,right,TIME,1,29.55,0.0,129,5,0.884375,0.9309250000000001,681.16,0.7018749999999999,0.0021669025000000085,0.03330625000000004,0.00025
debug0Gdyl:debugZJHNc,3,grind,grids,TIME,1,20.916999999999998,0.0,5,1,0.6799999999999999,0.7936,785.96,0.38133333333333336,0.012904960000000007,0.08920177777777773,0.00025
debug0Gdyl:debugZJHNc,4,grind,grind,TIME,1,11.584000000000001,0.0,1,1,1.0,0.2,720.36,0.0,0.6400000000000001,1.0,0.00025
debug0Gdyl:debugZJHNc,1,shaft,pearl,TIME,2,9.53,0.0,2317,46,0.923125,0.9170750000000001,631.2,0.9114583333333333,3.660249999999865e-05,0.0001361111111111122,0.00025
debug0Gdyl:debugZJHNc,2,shaft,moons,TIME,2,28.8,0.0,46,13,0.79625,0.9279000000000001,721.8,0.6639583333333333,0.01733172250000001,0.017501085069444453,0.00025
debug0Gdyl:debugZJHNc,3,shaft,squid,TIME,2,49.75,0.0,13,8,0.6745562130177515,0.8823668639053254,744.24,0.45917159763313614,0.043185266622317114,0.04639053254437868,0.00025
debug0Gdyl:debugZJHNc,4,shaft,stays,TIME,2,24.316999999999997,0.0,8,2,0.734375,0.85875,763.72,0.48541666666666666,0.015469140625000004,0.06198025173611111,0.00025
debug0Gdyl:debugZJHNc,5,shaft,water,TIME,2,249.373,0.0,2,1,0.5,0.59,825.28,0.16666666666666666,0.008099999999999994,0.11111111111111113,0.00025
debug0Gdyl:debugZJHNc,6,shaft,white,TIME,2,9.95,0.0,1,1,0.0,0.2,705.32,0.0,0.04000000000000001,0.0,0.00025
debug0Gdyl:debugZJHNc,7,shaft,shaft,TIME,2,59.148999999999994,0.0,1,1,1.0,0.24,725.84,0.0,0.5776,1.0,0.00025
debug0Gdyl:debugZJHNc,1,early,pearl,TIME,3,6.626,0.0,2317,8,0.936875,0.929975,620.12,0.8920416666666667,4.761000000000024e-05,0.002010027777777773,0.00025
debug0Gdyl:debugZJHNc,2,early,reals,TIME,3,64.583,0.0,8,1,0.3125,0.8175,784.64,0.5020833333333333,0.255025,0.035941840277777776,0.00025
debug0Gdyl:debugZJHNc,3,early,bread,TIME,3,116.149,0.0,1,1,0.0,0.2,705.6,0.0,0.04000000000000001,0.0,0.00025
debug0Gdyl:debugZJHNc,4,early,bails,TIME,3,35.749,0.0,1,1,0.0,0.24,725.88,0.0,0.0576,0.0,0.00025
debug0Gdyl:debugZJHNc,5,early,haste,TIME,3,80.366,0.0,1,1,0.0,0.36,787.2,0.0,0.1296,0.0,0.00025
debug0Gdyl:debugZJHNc,6,early,early,TIME,3,47.033,0.0,1,1,1.0,0.2,706.0,0.0,0.6400000000000001,1.0,0.00025
debug0Gdyl:debugZJHNc,1,draft,white,TIME,4,6.431,0.0,2317,152,0.895,0.9083,613.44,0.8695833333333334,0.00017688999999999943,0.0006460069444444432,0.00025
debug0Gdyl:debugZJHNc,2,draft,rules,TIME,4,17.617,0.0,152,17,0.923125,0.9287499999999999,662.52,0.7512083333333333,3.164062499999865e-05,0.029555340277777797,0.00025
debug0Gdyl:debugZJHNc,3,draft,pears,TIME,4,21.383000000000003,0.0,17,6,0.7647058823529411,0.9107266435986159,776.32,0.6235294117647059,0.02132206271476635,0.01993079584775085,0.00025
debug0Gdyl:debugZJHNc,4,draft,goods,TIME,4,32.766,0.0,6,1,0.6111111111111112,0.7011111111111111,867.36,0.28888888888888886,0.008099999999999994,0.1038271604938272,0.00025
debug0Gdyl:debugZJHNc,5,draft,tread,TIME,4,31.699,0.0,1,1,0.0,0.32,787.04,0.0,0.1024,0.0,0.00025
debug0Gdyl:debugZJHNc,6,draft,dream,TIME,4,73.45,0.0,1,1,0.0,0.28,746.8,0.0,0.07840000000000001,0.0,0.00025
debug0Gdyl:debugZJHNc,7,draft,draft,TIME,4,19.166,0.0,1,1,1.0,0.28,763.64,0.0,0.5184,1.0,0.00025
debug0Gdyl:debugZJHNc,1,sugar,sight,TIME,5,6.763,0.0,2317,3,0.8300000000000001,0.9162,637.48,0.896375,0.00743043999999999,0.004405640624999995,0.00025
debug0Gdyl:debugZJHNc,2,sugar,steal,TIME,5,25.967,0.0,3,1,0.6666666666666667,0.6933333333333335,666.36,0.5777777777777778,0.0007111111111111144,0.007901234567901238,0.00025
debug0Gdyl:debugZJHNc,3,sugar,ruder,TIME,5,72.482,0.0,1,1,0.0,0.44,840.52,0.0,0.1936,0.0,0.00025
debug0Gdyl:debugZJHNc,4,sugar,sugar,TIME,5,9.9,0.0,1,1,1.0,0.4,823.8,0.0,0.36,1.0,0.00025
debug0PKHY:debugwodVI,1,acorn,alien,TIME,0,10.071,10.0,2317,4,0.9525,0.9131749999999998,1402.08,0.8428333333333332,0.001546455625000013,0.012026777777777808,0.0001
debug0PKHY:debugwodVI,2,acorn,acorn,TIME,0,28.206999999999997,10.0,4,1,0.6875,0.6825,1749.48,0.4041666666666667,2.5000000000000045e-05,0.08027777777777777,0.0001
debug0PKHY:debugwodVI,1,hairy,alien,TIME,1,6.66,10.0,2317,9,0.958125,0.9207499999999998,1397.44,0.8745833333333333,0.0013968906250000118,0.006979210069444456,0.0001
debug0PKHY:debugwodVI,2,hairy,crime,TIME,1,15.96,10.0,9,3,0.6666666666666667,0.8696296296296298,1524.92,0.4683127572016461,0.0411939643347051,0.0393442734000576,0.0001
debug0PKHY:debugwodVI,3,hairy,laird,TIME,1,49.856,10.0,3,2,0.4444444444444444,0.5688888888888889,1965.96,0.2518518518518519,0.015486419753086426,0.03709190672153633,0.0001
debug0PKHY:debugwodVI,4,hairy,hairy,TIME,1,15.28,10.0,2,1,0.75,0.73,2153.68,0.1,0.0004000000000000007,0.42250000000000004,0.0001
debug0PKHY:debugwodVI,1,grind,alien,TIME,2,6.428999999999999,10.0,2317,32,0.93375,0.905425,1433.24,0.89725,0.0008023056249999962,0.0013322499999999984,0.0001
debug0PKHY:debugwodVI,2,grind,bring,TIME,2,19.055,10.0,32,1,0.7900390625,0.9037109375,1574.8,0.6493489583333333,0.01292129516601562,0.01979370541042753,0.0001
debug0PKHY:debugwodVI,3,grind,grind,TIME,2,20.272000000000002,10.0,1,1,1.0,0.6,1866.0,0.0,0.16000000000000003,1.0,0.0001
debug0PKHY:debugwodVI,1,smile,alien,TIME,3,7.605,10.0,2317,5,0.96125,0.9202499999999999,1371.2,0.8991249999999998,0.0016810000000000121,0.0038595156250000257,0.0001
debug0PKHY:debugwodVI,2,smile,while,TIME,3,23.824,10.0,5,4,0.19999999999999996,0.7376000000000001,1738.64,0.4133333333333334,0.28901376000000023,0.045511111111111155,0.0001
debug0PKHY:debugwodVI,3,smile,smile,TIME,3,38.824,10.0,4,1,0.4375,0.6825,1809.12,0.3875,0.060024999999999995,0.0024999999999999988,0.0001
debug0PKHY:debugwodVI,1,sugar,alien,TIME,4,6.227,10.0,2317,184,0.940625,0.9353,1394.04,0.8767083333333334,2.8355625000000256e-05,0.004085340277777772,0.0001
debug0PKHY:debugwodVI,2,sugar,sharp,TIME,4,19.111,10.0,184,6,0.914375,0.9168500000000002,1560.08,0.7405416666666667,6.125625000000574e-06,0.0302180277777778,0.0001
debug0PKHY:debugwodVI,3,sugar,start,TIME,4,19.608,10.0,6,3,0.6666666666666667,0.8577777777777779,1771.92,0.6074074074074074,0.03652345679012346,0.003511659807956114,0.0001
debug0PKHY:debugwodVI,4,sugar,sonar,TIME,4,62.88,10.0,3,1,0.6666666666666667,0.768888888888889,1688.72,0.41481481481481486,0.010449382716049381,0.06342935528120715,0.0001
debug0PKHY:debugwodVI,5,sugar,sugar,TIME,4,24.048000000000002,10.0,1,1,1.0,0.72,2030.0,0.0,0.07840000000000001,1.0,0.0001
debug0PKHY:debugwodVI,1,early,alien,TIME,5,5.445,10.0,2317,52,0.954375,0.9143250000000002,1383.52,0.8560833333333334,0.0016040024999999845,0.00966125173611109,0.0001
debug0PKHY:debugwodVI,2,early,learn,TIME,5,20.144000000000002,10.0,52,1,0.848125,0.8743499999999998,1541.36,0.6885416666666668,0.0006877506249999912,0.025466840277777732,0.0001
debug0PKHY:debugwodVI,3,early,rally,TIME,5,92.648,10.0,1,1,0.0,0.56,1866.0,0.0,0.31360000000000005,0.0,0.0001
debug0PKHY:debugwodVI,4,early,early,TIME,5,28.888,10.0,1,1,1.0,0.88,2194.0,0.0,0.0144,1.0,0.0001
debug0mas4:debugaJRmA,1,adult,arise,TIME,0,13.311,10.0,2317,29,0.958125,0.917425,1398.04,0.880375,0.0016564899999999966,0.0060450624999999975,0.0001
debug0mas4:debugaJRmA,2,adult,today,TIME,0,16.265,10.0,29,2,0.8501783590963139,0.9355529131985731,1615.04,0.6156956004756241,0.007288814488159591,0.05498216409036867,0.0001
debug0mas4:debugaJRmA,3,adult,adult,TIME,0,10.191,10.0,2,1,1.0,0.69,1938.92,0.4,0.09610000000000003,0.36,0.0001
debug0mas4:debugaJRmA,1,snore,arise,TIME,1,5.441,10.0,2317,10,0.965625,0.91925,1414.28,0.878375,0.002150640624999995,0.007612562499999989,0.0001
